job_no,domain,roles,companies,locations,experience,salaries,skills
373,Software Development,Virtusa actively looking For Full Stack Developers,Virtusa,"Hyderabad, Chennai",5-9 Yrs,15-25 Lacs PA,"Java,Spring Boot,Microservices,Angular,Java Development,Spring,Stack,Development"
374,Software Development,AI + Full Stack Developer,Vinculum Solutions,Bengaluru,0-3 Yrs,Not Disclosed,"Langchain,Mean Stack,Fullstack Development,AI agents,Conversational Ai,Express,Node.Js,Voice AI"
375,Software Development,Full Stack Developer II,FedEx,Hyderabad,3-5 Yrs,Not Disclosed,"fullstack development,css,application design,solution development,problem solving,engineering,hibernate,javascript"
376,Software Development,Full Stack Developer,IBM,Bengaluru,3-6 Yrs,Not Disclosed,"full stack developer,kubernetes,css,python,github,restful,ibm cloud,react"
377,Software Development,AI Full Stack Developer,Tata Consultancy Services(TCS),"Hybrid - Hyderabad, Chennai, Bengaluru",11-21 Yrs,15-30 Lacs PA,"Fullstack Development,AI,Full Stack,Joule,Python,Stack,Development,Artificial Intelligence"
378,Software Development,Full Stack Developer,Chemical & Mineral Industries,Hyderabad,4-7 Yrs,Not Disclosed,"frontend,integration,backend,Stack,Development,Full Stack,Front end"
379,Software Development,Walk-in || Azure +.Net Full Stack Developer,Tata Consultancy Services,Hyderabad,30 May,Not Disclosed,"Azure Functions,.Net,Azure App Service,React,SQL,Web API,Azure Service Bus,GIT"
380,Software Development,GenAI Full Stack Developer,PwC Service Delivery Center,"Hybrid - Kolkata, Hyderabad, Bengaluru",4-8 Yrs,Not Disclosed,"GenAI,Java,Node,Full Stack,Cloud Platform,React,Angular,Python"
381,Software Development,Full Stack Developer,Bootcoding,Nagpur,0-2 Yrs,Not Disclosed,"fullstack development,css,bootstrap,ajax,scalability,jquery,react.js,java"
382,Software Development,Full Stack Developer,Vtitan,Hyderabad,2-3 Yrs,Not Disclosed,"Product management,GIT,XML,Web development,Javascript,HTML,JSON,Information technology"
383,Software Development,Full Stack Developer,Newagesys Solutions,Kakinada,0-4 Yrs,Not Disclosed,"Postgresql,MySQL,Web development,Debugging,Consulting,Agile,HTML,Web designing"
384,Software Development,Job Opportunity For Full Stack Developer,Virtusa,Hyderabad,4-7 Yrs,Not Disclosed,"Node.Js,Python,React.Js,Angular,Stack,Development,Full Stack"
385,Software Development,FULL STACK DEVELOPER,Godigi Infotech,Pune,5-7 Yrs,Not Disclosed,"Computer science,jQuery,Front end,XML,PHP,Web designing,HTTP,JSON"
386,Software Development,Full Stack Developer,Godigi Infotech,Pune,5-12 Yrs,Not Disclosed,"Front end,MySQL,Web development,PHP,Healthcare,HTML,Unit testing,Oracle"
387,Software Development,CoE - Digital Engineering - Full Stack Developer,Qualitest,Bengaluru,0-3 Yrs,Not Disclosed,"github,GIT,TDD,Analytical,MVC,Stored procedures,Troubleshooting,Stakeholder management"
388,Software Development,Full Stack with AI Developer Opening with CAPCO,Capco,"Hybrid - Hyderabad, Gurugram, Bengaluru",7-12 Yrs,Not Disclosed,"Generative Ai,Fullstack Development,React.Js,AWS,Python,LLM,Retrieval Augmented Generation,Full Stack"
389,Software Development,Full Stack Developer,Victrix Systems And Labs,Hyderabad,6-8 Yrs,Not Disclosed,"full stack developer,kubernetes,restful,react,merchandising,retail,sql,microservices"
390,Software Development,Full Stack Developer,Bitespeed,Bengaluru,2-6 Yrs,Not Disclosed,"Full Stack Development,Vue.js,Performance Optimization,Redux,Node.js,Postgres,React,React.js"
391,Software Development,Full Stack Developer,Srijan Spectrum,Bengaluru,3-5 Yrs,Not Disclosed,"python,fullstack development,software development,version control,problem solving,backend development,relational databases,scalability"
392,Software Development,Commerce - Full Stack Developer,IT Services & Consulting,Bengaluru,2-4 Yrs,Not Disclosed,"Git,Rest APIs,Node.js,MongoDB,React.js,Full Stack Developer,Asynchronous Programming,Debugging"
393,Software Development,Full Stack Developer,Krazymantra It Solutions,Bengaluru,5-7 Yrs,Not Disclosed,"spring boot,GIT,Architecture,devops,Javascript,Agile,Deployment,Unit testing"
394,Software Development,Full Stack Developer,Barclays,Pune,3-8 Yrs,Not Disclosed,"Maven,Automation,Senior Analyst,Coding,Enterprise applications,Project management,Selenium,Unit testing"
395,Software Development,Full Stack Developer,Sadup Soft,"Chennai, Bengaluru",5-7 Yrs,Not Disclosed,"Java,Node.js,React.js,REST API,Full Stack Developer,Spring Framework,Agile Development,Webpack"
396,Software Development,Full stack Developer,CGI,Bengaluru,5-8 Yrs,Not Disclosed,"full stack developer,css,restful,confluence,html5,tomcat,bitbucket,sql"
397,Software Development,Full stack Developer,Krazymantra It Solutions,Bengaluru,6-14 Yrs,Not Disclosed,"Front end,C,Database design,Cloud Services,Javascript,PHP,AWS,SQL"
398,Software Development,Z3_Core Full Stack Developer,Stack Digital,"Hubli, Mangaluru, Mysuru, Bengaluru, Belgaum",6-9 Yrs,Not Disclosed,"Performance tuning,Backend,NoSQL,Coding,Postgresql,Integration testing,System design,MongoDB"
399,Software Development,Full Stack Developer-Javeriya Kewal-HCL,PSRTEK,Bengaluru,8-13 Yrs,Not Disclosed,"Computer science,Version control,GIT,Postgresql,Debugging,HTML,MongoDB,Cosmos"
400,Software Development,MollAI's Full Stack Developer,iKomet,"Pune, Gurugram, Bengaluru",10-20 Yrs,Not Disclosed,"Neo4J,Node.js,Grafana,Development,Full Stack,Stack,S"
401,Software Development,EY Hiring || Backend Developer,EY,"New Delhi, Gurugram, Delhi / NCR",3-8 Yrs,Not Disclosed,"Java,Backend,Spring Boot,GIT,JUnit,Backend Developer,SonarQube,Oracle"
402,Software Development,Backend Developer (microservices architecture),Maruti Suzuki,Gurugram,4-9 Yrs,Not Disclosed,"System architecture,Backend,NoSQL,Analytical,Agile,Scrum,MongoDB,Project delivery"
403,Software Development,"Backend Developer - UIDAI, Bengaluru",National Institute for Smart Government (NISG),"Bangalore Rural, Bengaluru",5-8 Yrs,5-12 Lacs PA,"Java,Docker,Microsoft Azure,AWS,Python,Rest,NoSQL,GCP"
404,Software Development,SPSF EMEA - Backend Developer,Barclays,Pune,5-10 Yrs,Not Disclosed,"Unix,Core Java,Backend,Coding,System integration,Javascript,Unit testing,application architecture"
405,Software Development,Backend Developer,Lithium Urban Technologies,Bengaluru,3-8 Yrs,Not Disclosed,"SAN,Backend,GIT,GCP,SOC,Debugging,SMS,Data processing"
406,Software Development,Backend Developer,Code Players,Raipur,0-1 Yrs,Not Disclosed,"algorithms,css,web application,hibernate,jquery,microservices,sql,spring"
407,Software Development,Backend Developer,The Fast Way,Mumbai,0-2 Yrs,Not Disclosed,"Health insurance,SIDE,Front end,Version control,GIT,Coding,data security,MySQL"
408,Software Development,Backend Developer,IBM,Pune,1-3 Yrs,Not Disclosed,"backend developer,python,ibm cloud,operating systems,database technologies,artificial intelligence,ansible,back end"
409,Software Development,Backend Developer,IBM,Bengaluru,5-8 Yrs,Not Disclosed,"backend developer,kubernetes,python,storage solutions,agile development,artificial intelligence,ansible,back end"
410,Software Development,SFCC Backend Developer - SFRA is must,GSPANN,"Hyderabad, Gurugram, Bengaluru",5-10 Yrs,Not Disclosed,"SFCC,Sfra,Backend Development,contoler,SFDC,Development,Backend"
411,Software Development,Developer - Backend,Makemytrip,Gurugram,0-5 Yrs,Not Disclosed,"emerging technologies,rest,python,css,problem solving,backend development,scalability,javascript"
412,Software Development,Developer - Backend,Makemytrip,Mumbai,0-5 Yrs,Not Disclosed,"emerging technologies,rest,python,css,problem solving,backend development,scalability,javascript"
413,Software Development,Backend Developer,Trade Brains,Bengaluru,1-5 Yrs,Not Disclosed,"Python,DevOps,Git,web framework,Docker,Django,AWS services,CI/CD"
414,Software Development,Backend Developer,Digixpressions Media,Mumbai,2-3 Yrs,Not Disclosed,"Performance tuning,Software design,Backend,GIT,HP data protector,Coding,MySQL,SEO"
415,Software Development,Backend Developer,Stack Digital,New Delhi,2-4 Yrs,Not Disclosed,"spring boot,Backend,Multithreading,Coding,Infrastructure,Database,MCP,AWS"
416,Software Development,Backend Developer,Leading Client,Bengaluru,2-4 Yrs,Not Disclosed,"Spring Boot,python,laravel,backend developer,nosql,ruby,sql,java"
417,Software Development,Backend Developer,Mindfount Infotech (opc),Lucknow,3-8 Yrs,Not Disclosed,"Backend,NoSQL,Architecture,Postgresql,devops,Javascript,MongoDB,SQL"
418,Software Development,Backend Developer,Persistent,Bengaluru,5-10 Yrs,Not Disclosed,"Java,Design Patterns,PostgreSQL,J2EE,Other,Services,Development,Backend Development"
419,Software Development,Backend Developer,Twixor,Bengaluru,5-8 Yrs,Not Disclosed,"backend developer,insurance,front end,rest,restful,software development,ai,logistics"
420,Software Development,Backend Developer,Fynxt,Surat,8-10 Yrs,Not Disclosed,"css,hibernate,jquery,microservices,sql,spring,react.js,java"
421,Software Development,EY Hiring || Backend Developer,EY,"New Delhi, Gurugram, Delhi / NCR",3-8 Yrs,Not Disclosed,"Java,Backend,Spring Boot,GIT,JUnit,Backend Developer,SonarQube,Oracle"
422,Software Development,Backend Developer (microservices architecture),Maruti Suzuki,Gurugram,4-9 Yrs,Not Disclosed,"System architecture,Backend,NoSQL,Analytical,Agile,Scrum,MongoDB,Project delivery"
423,Software Development,"Backend Developer - UIDAI, Bengaluru",National Institute for Smart Government (NISG),"Bangalore Rural, Bengaluru",5-8 Yrs,5-12 Lacs PA,"Java,Docker,Microsoft Azure,AWS,Python,Rest,NoSQL,GCP"
424,Software Development,SPSF EMEA - Backend Developer,Barclays,Pune,5-10 Yrs,Not Disclosed,"Unix,Core Java,Backend,Coding,System integration,Javascript,Unit testing,application architecture"
425,Software Development,Backend Developer,Lithium Urban Technologies,Bengaluru,3-8 Yrs,Not Disclosed,"SAN,Backend,GIT,GCP,SOC,Debugging,SMS,Data processing"
426,Software Development,Backend Developer,Code Players,Raipur,0-1 Yrs,Not Disclosed,"algorithms,css,web application,hibernate,jquery,microservices,sql,spring"
427,Software Development,Backend Developer,The Fast Way,Mumbai,0-2 Yrs,Not Disclosed,"Health insurance,SIDE,Front end,Version control,GIT,Coding,data security,MySQL"
428,Software Development,Backend Developer,IBM,Pune,1-3 Yrs,Not Disclosed,"backend developer,python,ibm cloud,operating systems,database technologies,artificial intelligence,ansible,back end"
429,Software Development,Backend Developer,IBM,Bengaluru,5-8 Yrs,Not Disclosed,"backend developer,kubernetes,python,storage solutions,agile development,artificial intelligence,ansible,back end"
430,Software Development,SFCC Backend Developer - SFRA is must,GSPANN,"Hyderabad, Gurugram, Bengaluru",5-10 Yrs,Not Disclosed,"SFCC,Sfra,Backend Development,contoler,SFDC,Development,Backend"
431,Software Development,Developer - Backend,Makemytrip,Gurugram,0-5 Yrs,Not Disclosed,"emerging technologies,rest,python,css,problem solving,backend development,scalability,javascript"
432,Software Development,Developer - Backend,Makemytrip,Mumbai,0-5 Yrs,Not Disclosed,"emerging technologies,rest,python,css,problem solving,backend development,scalability,javascript"
433,Software Development,Backend Developer,Trade Brains,Bengaluru,1-5 Yrs,Not Disclosed,"Python,DevOps,Git,web framework,Docker,Django,AWS services,CI/CD"
434,Software Development,Backend Developer,Digixpressions Media,Mumbai,2-3 Yrs,Not Disclosed,"Performance tuning,Software design,Backend,GIT,HP data protector,Coding,MySQL,SEO"
435,Software Development,Backend Developer,Stack Digital,New Delhi,2-4 Yrs,Not Disclosed,"spring boot,Backend,Multithreading,Coding,Infrastructure,Database,MCP,AWS"
436,Software Development,Backend Developer,Leading Client,Bengaluru,2-4 Yrs,Not Disclosed,"Spring Boot,python,laravel,backend developer,nosql,ruby,sql,java"
437,Software Development,Backend Developer,Mindfount Infotech (opc),Lucknow,3-8 Yrs,Not Disclosed,"Backend,NoSQL,Architecture,Postgresql,devops,Javascript,MongoDB,SQL"
438,Software Development,Backend Developer,Persistent,Bengaluru,5-10 Yrs,Not Disclosed,"Java,Design Patterns,PostgreSQL,J2EE,Other,Services,Development,Backend Development"
439,Software Development,Backend Developer,Twixor,Bengaluru,5-8 Yrs,Not Disclosed,"backend developer,insurance,front end,rest,restful,software development,ai,logistics"
440,Software Development,Backend Developer,Fynxt,Surat,8-10 Yrs,Not Disclosed,"css,hibernate,jquery,microservices,sql,spring,react.js,java"
441,Software Development,Backend Developer at A FinTech Company,Talentzo Delhi,Remote,5-8 Yrs,18-27.5 Lacs PA,"Java,Rest Apis,Spring,Company,Fintech,Development,Rest,API"
442,Software Development,T&T- OIDS - Consultant - Backend Developer - Delhi,Deloitte US-India Offices,New Delhi,0-4 Yrs,Not Disclosed,"spring boot,Tomcat,Backend,Data management,JBoss,Postgresql,Data processing,Apache"
443,Software Development,Backend Developer,Codebuddy,Pune,3-5 Yrs,Not Disclosed,"css,api integration,bootstrap,ajax,jquery,sql,react.js,java"
444,Software Development,Backend Developer,The Fast Way,Navi Mumbai,0-2 Yrs,Not Disclosed,"Health insurance,SIDE,Front end,Version control,GIT,Coding,data security,MySQL"
445,Software Development,Backend Developer,Metconnect Infotech,Patna,0-1 Yrs,Not Disclosed,"spring boot,Backend,Architecture,Postgresql,MySQL,Debugging,AWS,microservices"
446,Software Development,Backend Developer,Payfi,Noida,2-5 Yrs,Not Disclosed,"algorithms,css,web services,hibernate,jquery,microservices,sql,spring"
447,Software Development,Backend Developer,Verinite Technologies,Mumbai,4-8 Yrs,Not Disclosed,"Backend,Monitoring tools,Standard operating procedures,Banking,windows support,Manager Technology,splunk,Support services"
448,Software Development,Backend Developer (NestJS),Hour Consulting,Kolkata,3-8 Yrs,Not Disclosed,"Typescript,Node.Js,Nestjs,Rest Api Design,AWS,Jest,Rest,API"
449,Software Development,Backend Developer,Paisabazaar,Gurugram,4-5 Yrs,Not Disclosed,"System Design,Node.Js,System Architecture,MySQL,Expresjs,Scalability,Data Structures,DS"
450,Software Development,Backend developer,Saxo,Gurugram,8-10 Yrs,Not Disclosed,"Web services,Diversity and Inclusion,Banking,Programming,microsoft azure,Windows,Investment banking,Distribution system"
451,Software Development,Backend Developer,Prasha Sync,Bengaluru,5-10 Yrs,Not Disclosed,"backend developer,kubernetes,restful,react,sql,microservices,docker,ansible"
452,Software Development,Backend Developer,Quantum Phinance,Mumbai,1-2 Yrs,Not Disclosed,"C++,time management skills,c,version control,ui development,templates,backend developer,sql"
453,Software Development,Backend Developer,Digixpressions Media,Navi Mumbai,2-3 Yrs,Not Disclosed,"Performance tuning,Software design,Backend,GIT,HP data protector,Coding,MySQL,SEO"
454,Software Development,Backend Developer,Zipaworld Innovation,Noida,1-6 Yrs,Not Disclosed,"schema,python,css,version control,problem solving,backend development,scalability,javascript"
455,Software Development,Backend Developer,Devout Tech Consultants,Nagar,3-5 Yrs,Not Disclosed,"fixtures,codeigniter,laravel,core php,bug,css,c++,wordpress"
456,Software Development,Backend Developer-5-7Yrs-Delhi/NCR,Crescendo Global Leadership Hiring India,"Hybrid - Noida, Gurugram, Delhi / NCR",4-8 Yrs,Not Disclosed,"SCHEMA DESIGN,Typescript,Node.Js,AZURE FUNCTIONS,BACKEND DEVELOPER,Postgresql,FIREBASE,JWT"
457,Software Development,Backend Developer,Twixor,Chennai,6-8 Yrs,Not Disclosed,"backend developer,insurance,rest,ai,logistics,retail,sql,microservices"
458,Software Development,Backend Developer,Mostedge,Vadodara,4-8 Yrs,Not Disclosed,"Python,Machine Learning frameworks,PyTorch,ORM frameworks,SQL databases,FastAPI,API frameworks,TensorFlow"
459,Software Development,Backend Developer,Fynxt,Chennai,8-10 Yrs,Not Disclosed,"css,hibernate,jquery,microservices,sql,spring,react.js,java"
460,Software Development,Backend Developer,Xllent Corporate Services Pvt. Ltd,Bengaluru,6-8 Yrs,Not Disclosed,"Typescript,Databricks,NodeJS,Python,CI/CD,API design,Kubernetes,web application development"
461,Software Development,Intern - Frontend Developer,The Adroit,Mumbai,No fixed duration,"5,000/month",
462,Software Development,Frontend Developer,Bootcoding,Nagpur,0-2 Yrs,Not Disclosed,"rest,front end,frontend development,emerging technologies,css,ux,web application,front end technologies"
463,Software Development,Frontend Developer,Clumpcoder,Indore,0-1 Yrs,Not Disclosed,"react.js,frontend development,front end,web application,web technologies,Front,Development,Application"
464,Software Development,Frontend Developer,Code Players,Raipur,0-2 Yrs,Not Disclosed,"redux,css,web application,ui development,vue.js,mobx,bootstrap,ajax"
465,Software Development,Frontend Developer,Link Ideas Technologies,Bhilai,0-3 Yrs,Not Disclosed,"redux,css,web application,ui development,bootstrap,ajax,jquery,react.js"
466,Software Development,Frontend Developer,Logic Planet,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",0-5 Yrs,Not Disclosed,"frontend development,front end,redux,css,web application,wordpress,ui development,bootstrap"
467,Software Development,Frontend Developer,Shrewd Business Solutions,Coimbatore,0-2 Yrs,Not Disclosed,"frontend development,front end,emerging technologies,css,ui development,user interface designing,photoshop,bootstrap"
468,Software Development,Frontend Developer,Foxiom Leads,Kozhikode,0-1 Yrs,Not Disclosed,"frontend development,front end,emerging technologies,css,ui development,user interface designing,photoshop,bootstrap"
469,Software Development,Frontend Developer,Imperative Business Ventures,Pune,0-2 Yrs,Not Disclosed,"redux,css,ui development,bootstrap,ajax,scalability,jquery,react.js"
